transaction_id,account_number,customer_id,transaction_datetime,transaction_type,amount,branch_code,region,channel,status
NTX1000000,1958682846,CUST98696,3/23/2025 1:39,Transfer,505.09,NBR003,North,RTGS,Failed
NTX1000001,9703905715,CUST95181,1/24/2025 3:26,Withdrawal,600.8,NBR008,North,NEFT,Failed
NTX1000002,7110082321,CUST38221,1/5/2025 17:34,Withdrawal,15177.35,NBR004,North,ATM,Failed
NTX1000003,9776552803,CUST26361,3/12/2025 10:14,Withdrawal,7182.79,NBR003,North,RTGS,Failed
NTX1000004,9786748825,CUST47930,9/21/2025 8:01,Deposit,11549.16,NBR004,North,NEFT,Failed
NTX1000005,6884882440,CUST44993,11/27/2025 3:55,Transfer,12715.51,NBR021,North,ATM,Success
NTX1000006,3392080953,CUST17331,6/28/2025 6:22,Deposit,3272.23,NBR011,North,NEFT,Failed
NTX1000007,2351531223,CUST61856,2/18/2025 4:43,Transfer,4223.6,NBR015,North,UPI,Failed
NTX1000008,7805745017,CUST62350,4/12/2025 16:13,Deposit,4936.32,NBR017,North,NEFT,Success
NTX1000009,8217611860,CUST60432,2/4/2025 7:25,Withdrawal,17222.75,NBR017,North,IMPS,Success
NTX1000010,8047877267,CUST66985,3/25/2025 9:56,Deposit,13635.8,NBR024,North,Branch,Failed
NTX1000011,7980611182,CUST76540,12/31/2025 12:22,Deposit,15240.43,NBR012,North,UPI,Success
NTX1000012,8760038701,CUST41571,8/25/2025 1:02,Deposit,9774.67,NBR003,North,Branch,Failed
NTX1000013,1540137296,CUST82063,2/20/2025 9:34,Transfer,19559.8,NBR020,North,NEFT,Success
NTX1000014,6898796145,CUST69177,5/27/2025 11:22,Deposit,14260.41,NBR003,North,IMPS,Success
NTX1000015,1252860896,CUST14117,6/17/2025 13:32,Deposit,11770.86,NBR017,North,UPI,Failed
NTX1000016,3030106617,CUST63354,12/20/2025 11:13,Deposit,4288.66,NBR022,North,NEFT,Failed
NTX1000017,9822598054,CUST94696,11/5/2025 10:34,Withdrawal,8224.99,NBR024,North,IMPS,Success
NTX1000018,5897045684,CUST70637,7/1/2025 1:35,Deposit,3835.84,NBR015,North,RTGS,Success
NTX1000019,2015242176,CUST73092,2/6/2025 20:05,Withdrawal,13044.64,NBR002,North,UPI,Failed
NTX1000020,7249213370,CUST82845,1/2/2025 13:40,Withdrawal,19706.25,NBR005,North,UPI,Failed
NTX1000021,3328710672,CUST17492,6/8/2025 12:35,Withdrawal,19374.34,NBR017,North,RTGS,Success
NTX1000022,1798112150,CUST98501,2/11/2025 10:02,Withdrawal,19215.77,NBR004,North,RTGS,Success
NTX1000023,7540301973,CUST36772,1/29/2025 22:32,Withdrawal,12389.53,NBR008,North,IMPS,Failed
NTX1000024,1311570307,CUST83792,4/6/2025 7:15,Deposit,13435.45,NBR018,North,UPI,Failed
NTX1000025,4776436931,CUST30676,4/7/2025 10:50,Transfer,18665.52,NBR023,North,IMPS,Success
NTX1000026,4771526597,CUST24029,8/7/2025 0:01,Deposit,18635.46,NBR009,North,IMPS,Success
NTX1000027,7393195616,CUST16658,9/7/2025 16:16,Withdrawal,4075.93,NBR009,North,ATM,Success
NTX1000028,2125089309,CUST82309,8/31/2025 21:19,Transfer,15423.53,NBR001,North,ATM,Success
NTX1000029,5931025271,CUST50404,4/19/2025 12:54,Deposit,10914.08,NBR012,North,UPI,Success
NTX1000030,9051829827,CUST30257,3/16/2025 20:26,Deposit,7076.8,NBR006,North,UPI,Failed
NTX1000031,6360837474,CUST24168,1/19/2025 1:10,Deposit,3591.32,NBR016,North,UPI,Success
NTX1000032,4742303947,CUST96511,12/2/2025 4:22,Withdrawal,6996.42,NBR009,North,ATM,Failed
NTX1000033,7597996327,CUST25118,9/13/2025 16:43,Withdrawal,12831.43,NBR006,North,RTGS,Failed
NTX1000034,6642201119,CUST77033,1/28/2025 20:35,Transfer,2172.51,NBR007,North,IMPS,Success
NTX1000035,3880327491,CUST19171,11/14/2025 12:39,Withdrawal,38.82,NBR020,North,IMPS,Success
NTX1000036,6695912196,CUST82667,8/7/2025 16:30,Withdrawal,10144.91,NBR022,North,NEFT,Success
NTX1000037,6600100279,CUST86019,8/8/2025 3:28,Withdrawal,8124.47,NBR015,North,NEFT,Failed
NTX1000038,4160930353,CUST47196,6/5/2025 14:42,Transfer,10225.92,NBR020,North,IMPS,Success
NTX1000039,1855256552,CUST42092,6/21/2025 0:37,Transfer,13457.55,NBR025,North,ATM,Failed
NTX1000040,6944142262,CUST29342,10/29/2025 18:52,Deposit,17723.31,NBR025,North,ATM,Failed
