transaction_id,account_number,customer_id,transaction_datetime,transaction_type,amount,branch_code,region,channel,status
STX1000000,3865411300,CUST61918,5/5/2025 10:20,Transfer,7332.83,SBR012,South,IMPS,Success
STX1000001,6852518000,CUST29855,3/21/2025 12:03,Deposit,4795.62,SBR003,South,IMPS,Success
STX1000002,1544999995,CUST22153,12/18/2025 22:26,Withdrawal,6866.49,SBR020,South,UPI,Success
STX1000003,7629869876,CUST48234,8/16/2025 14:02,Withdrawal,656.34,SBR013,South,Branch,Success
STX1000004,6207081375,CUST98969,4/8/2025 13:37,Withdrawal,19172.63,SBR021,South,UPI,Success
STX1000005,8681124170,CUST65419,1/31/2025 23:33,Deposit,15275.85,SBR010,South,RTGS,Failed
STX1000006,7522649085,CUST21669,2/14/2025 4:48,Withdrawal,9154.01,SBR008,South,Branch,Failed
STX1000007,2750421282,CUST15510,4/19/2025 7:56,Transfer,5029.13,SBR010,South,ATM,Failed
STX1000008,1065192705,CUST34458,9/16/2025 17:33,Withdrawal,8271.19,SBR018,South,UPI,Success
STX1000009,3894185203,CUST45909,8/9/2025 19:55,Withdrawal,15311.78,SBR024,South,IMPS,Success
STX1000010,3954915169,CUST43030,6/29/2025 5:08,Deposit,5792.04,SBR002,South,IMPS,Failed
STX1000011,2094623604,CUST69991,8/1/2025 3:57,Deposit,2109.01,SBR019,South,NEFT,Success
STX1000012,4429205661,CUST37267,12/21/2025 6:47,Deposit,12640.15,SBR008,South,RTGS,Success
STX1000013,1305221172,CUST73552,4/5/2025 13:22,Withdrawal,14487.09,SBR015,South,ATM,Success
STX1000014,5529729257,CUST77488,10/3/2025 17:13,Deposit,10692.15,SBR025,South,IMPS,Success
STX1000015,6905882744,CUST33859,10/24/2025 22:29,Withdrawal,3384.56,SBR018,South,RTGS,Success
STX1000016,5119844945,CUST11066,4/24/2025 2:57,Deposit,9639.05,SBR009,South,ATM,Failed
STX1000017,6053132548,CUST87114,2/7/2025 2:35,Transfer,16920.4,SBR005,South,Branch,Failed
STX1000018,4807216278,CUST49198,7/24/2025 22:46,Transfer,4446.91,SBR006,South,UPI,Success
STX1000019,6403632081,CUST98541,4/23/2025 10:26,Withdrawal,3806.47,SBR024,South,RTGS,Success
STX1000020,5947581146,CUST62924,9/11/2025 12:04,Transfer,10112.36,SBR006,South,ATM,Success
STX1000021,4646982200,CUST55272,9/19/2025 12:44,Withdrawal,5829.46,SBR018,South,IMPS,Success
STX1000022,8751685808,CUST36924,8/30/2025 21:16,Withdrawal,7601.81,SBR024,South,RTGS,Success
STX1000023,8039600731,CUST40495,3/28/2025 10:29,Transfer,19349.54,SBR013,South,RTGS,Failed
STX1000024,5118101096,CUST17895,2/7/2025 3:16,Deposit,4623.72,SBR003,South,IMPS,Failed
STX1000025,1144081313,CUST49526,8/8/2025 21:54,Transfer,19745.77,SBR019,South,RTGS,Failed
STX1000026,3916432822,CUST95898,2/28/2025 14:22,Withdrawal,14121.01,SBR020,South,Branch,Failed
STX1000027,4653410660,CUST56462,3/26/2025 4:04,Deposit,9837.93,SBR003,South,NEFT,Failed
STX1000028,6609531332,CUST27638,7/19/2025 2:56,Deposit,693.67,SBR014,South,ATM,Failed
STX1000029,9141531945,CUST42147,5/25/2025 18:12,Transfer,8231.63,SBR015,South,IMPS,Success
STX1000030,2593188201,CUST95051,11/4/2025 11:30,Deposit,6100.54,SBR022,South,Branch,Success
STX1000031,1877803657,CUST59610,1/20/2025 21:59,Withdrawal,2324.52,SBR011,South,IMPS,Failed
STX1000032,2697605969,CUST11725,5/8/2025 18:17,Withdrawal,906.72,SBR015,South,NEFT,Failed
STX1000033,6289954405,CUST42719,5/20/2025 17:55,Transfer,8972.88,SBR008,South,RTGS,Success
STX1000034,1366734125,CUST80149,7/9/2025 16:30,Transfer,5347.31,SBR005,South,ATM,Failed
STX1000035,6359691633,CUST78984,9/18/2025 21:08,Deposit,9510.79,SBR005,South,IMPS,Success
STX1000036,2648004831,CUST86780,11/1/2025 0:42,Transfer,2108.11,SBR013,South,ATM,Success
STX1000037,1018401950,CUST25181,1/5/2025 5:21,Deposit,16701.74,SBR023,South,IMPS,Failed
STX1000038,9989766534,CUST12953,2/1/2025 3:03,Deposit,9912.04,SBR015,South,NEFT,Success
STX1000039,1706956864,CUST82855,4/13/2025 0:47,Deposit,15774.93,SBR024,South,Branch,Failed
STX1000040,2420623966,CUST56319,5/28/2025 13:55,Transfer,9621.85,SBR025,South,Branch,Success
STX1000041,7758088808,CUST73344,12/22/2025 17:29,Deposit,6040.6,SBR006,South,Branch,Success
STX1000042,9575776820,CUST36858,3/2/2025 7:19,Transfer,9530.81,SBR003,South,ATM,Success
STX1000043,2754430749,CUST58923,6/4/2025 5:46,Withdrawal,15864.72,SBR007,South,IMPS,Success
STX1000044,2869175386,CUST96492,4/17/2025 12:15,Transfer,3351.28,SBR020,South,IMPS,Success
STX1000045,5428010181,CUST26059,10/3/2025 20:07,Withdrawal,4752.68,SBR004,South,ATM,Success
STX1000046,6251771536,CUST38961,12/31/2025 12:37,Deposit,2848.96,SBR012,South,RTGS,Failed
STX1000047,2465795425,CUST55661,4/21/2025 1:28,Transfer,19985.46,SBR011,South,RTGS,Success
STX1000048,2151556675,CUST78827,12/6/2025 12:04,Transfer,2433.28,SBR025,South,ATM,Success
STX1000049,6199444685,CUST69362,10/25/2025 14:01,Withdrawal,9333.25,SBR020,South,IMPS,Success
STX1000050,1763093323,CUST37592,3/7/2025 14:00,Deposit,14729.01,SBR013,South,RTGS,Success
STX1000051,5195521230,CUST11289,1/12/2025 19:29,Deposit,12570.52,SBR024,South,UPI,Success
STX1000052,5304552542,CUST39939,11/2/2025 7:26,Withdrawal,6801.07,SBR002,South,ATM,Success
STX1000053,7322896214,CUST67318,5/10/2025 14:43,Transfer,930.15,SBR003,South,NEFT,Success
STX1000054,8988420981,CUST84503,9/19/2025 11:00,Transfer,11727.94,SBR009,South,NEFT,Success
STX1000055,9288641598,CUST38138,11/13/2025 2:47,Withdrawal,15242.86,SBR025,South,ATM,Failed
STX1000056,9948878284,CUST76211,8/6/2025 21:01,Transfer,8156.45,SBR024,South,UPI,Failed
STX1000057,8357255316,CUST57822,7/25/2025 0:16,Deposit,761.23,SBR012,South,RTGS,Failed
STX1000058,4919273548,CUST49932,2/22/2025 1:30,Withdrawal,15708.93,SBR021,South,UPI,Failed
STX1000059,6818759238,CUST36498,7/17/2025 18:57,Transfer,1210.93,SBR007,South,ATM,Failed
STX1000060,7589962651,CUST49412,4/3/2025 2:10,Withdrawal,3485.65,SBR002,South,ATM,Failed
STX1000061,3566264346,CUST14628,7/22/2025 16:09,Transfer,10097.32,SBR011,South,IMPS,Success
STX1000062,5045317295,CUST50491,11/9/2025 19:20,Withdrawal,10296.02,SBR021,South,ATM,Success
STX1000063,1519603992,CUST29838,3/7/2025 13:50,Deposit,16961.51,SBR002,South,UPI,Success
STX1000064,7070825118,CUST24183,2/19/2025 6:44,Transfer,-1783.1,SBR023,South,Branch,Failed
STX1000065,1050132613,CUST48001,4/8/2025 1:04,Deposit,15903.38,SBR019,South,ATM,Failed
STX1000066,4437844354,CUST49714,7/7/2025 21:27,Transfer,19621.71,SBR008,South,Branch,Failed
STX1000067,9064236052,CUST78007,6/3/2025 5:11,Transfer,15379.81,SBR024,South,UPI,Success
STX1000068,4174282366,CUST26399,9/13/2025 8:45,Deposit,9769.25,SBR024,South,NEFT,Failed
STX1000069,5380253348,CUST32601,11/17/2025 13:33,Transfer,9071.9,SBR001,South,NEFT,Success
STX1000070,3278313947,CUST44361,7/9/2025 8:02,Withdrawal,8275.77,SBR019,South,ATM,Failed
STX1000071,1093895229,CUST72227,10/8/2025 2:10,Deposit,6522.83,SBR013,South,UPI,Success
STX1000072,3667640673,CUST71009,2/2/2025 16:58,Withdrawal,16975.98,SBR006,South,RTGS,Success
STX1000073,1428932969,CUST91451,10/19/2025 14:48,Deposit,17965.3,SBR003,South,Branch,Failed
STX1000074,1120938522,CUST36633,5/31/2025 5:56,Transfer,13583.09,SBR016,South,NEFT,Failed
STX1000075,8637563390,CUST49495,10/13/2025 8:21,Transfer,10597.66,SBR014,South,IMPS,Failed
STX1000076,5199099862,CUST73142,10/1/2025 11:55,Withdrawal,5109.42,SBR015,South,Branch,Failed
STX1000077,5259678652,CUST43916,6/4/2025 11:19,Deposit,3414.52,SBR012,South,NEFT,Failed
STX1000078,2389167678,CUST27467,4/5/2025 6:40,Transfer,10469.09,SBR003,South,UPI,Failed
STX1000079,9319674689,CUST90311,2/16/2025 13:56,Transfer,18358.08,SBR018,South,ATM,Success
STX1000080,6909468879,CUST16117,7/13/2025 7:49,Deposit,3688.57,SBR006,South,Branch,Success
STX1000081,1012551742,CUST93241,10/27/2025 5:28,Withdrawal,18231.63,SBR020,South,IMPS,Failed
STX1000082,2170381881,CUST18346,9/1/2025 21:56,Withdrawal,19427.69,SBR010,South,IMPS,Failed
STX1000083,7188442560,CUST78544,12/22/2025 10:39,Deposit,16758.49,SBR016,South,UPI,Failed
STX1000084,1110190755,CUST47133,11/9/2025 11:12,Transfer,5717.64,SBR010,South,RTGS,Success
STX1000085,6173250414,CUST62755,8/1/2025 14:27,Deposit,5087.16,SBR022,South,ATM,Success
STX1000086,1904434093,CUST37744,2/28/2025 14:47,Transfer,14709.46,SBR010,South,NEFT,Failed
STX1000087,6990388206,CUST45056,4/21/2025 12:00,Withdrawal,3757.91,SBR023,South,Branch,Failed
STX1000088,1089056220,CUST55342,12/4/2025 23:32,Deposit,12905.33,SBR021,South,ATM,Failed
STX1000089,4839287929,CUST57897,5/17/2025 18:38,Withdrawal,10143.25,SBR010,South,NEFT,Success
STX1000090,3871135471,CUST63453,5/16/2025 7:04,Transfer,124.94,SBR007,South,NEFT,Failed
STX1000091,9798785181,CUST30365,8/30/2025 8:40,Deposit,3794.37,SBR006,South,RTGS,Failed
STX1000092,9771117631,CUST70624,5/10/2025 23:10,Transfer,13660.12,SBR001,South,Branch,Failed
STX1000093,1176786535,CUST86347,2/13/2025 5:41,Withdrawal,15452.79,SBR002,South,IMPS,Failed
STX1000094,3131873069,CUST10800,3/30/2025 16:10,Withdrawal,19906.18,SBR024,South,UPI,Success
STX1000095,5626384426,CUST20219,11/22/2025 8:47,Withdrawal,9935.17,SBR002,South,ATM,Failed
