transaction_id,account_number,customer_id,transaction_datetime,transaction_type,amount,branch_code,region,channel,status
WTX1000000,4747912605,CUST28307,9/23/2025 9:17,Withdrawal,8105.8,WBR003,West,ATM,Success
WTX1000001,2570730127,CUST73994,9/15/2025 18:41,Transfer,9723.61,WBR014,West,UPI,Success
WTX1000002,7942351336,CUST48270,8/19/2025 4:45,Transfer,9745.48,WBR019,West,NEFT,Failed
WTX1000003,1993533970,CUST35050,11/18/2025 15:44,Transfer,17640.29,WBR001,West,Branch,Failed
WTX1000004,1969955168,CUST92175,9/17/2025 10:13,Transfer,1967.73,WBR011,West,ATM,Failed
WTX1000005,3971918998,CUST38303,10/27/2025 19:05,Withdrawal,11294.25,WBR020,West,Branch,Success
WTX1000006,6916136623,CUST29932,4/19/2025 11:31,Transfer,7735.29,WBR011,West,Branch,Failed
WTX1000007,4707768058,CUST79306,9/26/2025 16:53,Transfer,3786.26,WBR013,West,ATM,Success
WTX1000008,4890252085,CUST73399,9/13/2025 12:34,Withdrawal,15592.66,WBR003,West,Branch,Success
WTX1000009,4257280892,CUST44478,3/5/2025 10:04,Deposit,2446.31,WBR017,West,RTGS,Success
WTX1000010,4140983124,CUST99029,9/16/2025 6:53,Transfer,9267.91,WBR012,West,UPI,Failed
WTX1000011,1608394582,CUST98877,3/27/2025 20:35,Transfer,12465.98,WBR010,West,NEFT,Failed
WTX1000012,2442282425,CUST35355,8/2/2025 9:59,Withdrawal,2623.97,WBR017,West,RTGS,Success
WTX1000013,,CUST45311,12/3/2025 10:40,Withdrawal,8658.88,WBR017,West,UPI,Failed
WTX1000014,2834695597,CUST81057,12/28/2025 14:15,Transfer,2947.18,WBR001,West,UPI,Success
WTX1000015,6308842313,CUST72503,8/22/2025 15:31,Withdrawal,14081.63,WBR011,West,ATM,Failed
WTX1000016,6402457034,CUST43064,6/17/2025 16:40,Deposit,9658.84,WBR018,West,RTGS,Failed
WTX1000017,4989958270,CUST24791,11/9/2025 22:09,Withdrawal,408.25,WBR002,West,IMPS,Failed
WTX1000018,7018868767,CUST44174,9/11/2025 0:57,Transfer,5989.94,WBR022,West,RTGS,Failed
WTX1000019,5187492390,CUST92368,6/25/2025 20:03,Deposit,3621.37,WBR019,West,ATM,Success
WTX1000020,9004832786,CUST17072,4/8/2025 10:11,Transfer,9353.65,WBR005,West,IMPS,Success
WTX1000021,5675146090,CUST53506,7/10/2025 21:12,Deposit,13506.33,WBR015,West,ATM,Success
WTX1000022,3088105046,CUST99933,12/23/2025 3:40,Deposit,12922.26,WBR010,West,ATM,Success
WTX1000023,2124061764,CUST61653,2/22/2025 23:37,Withdrawal,12796.08,WBR021,West,UPI,Failed
WTX1000024,2009357398,CUST29287,9/17/2025 4:28,Transfer,2408.21,WBR004,West,Branch,Failed
WTX1000025,9061058178,CUST28723,4/23/2025 18:20,Withdrawal,400,WBR016,West,RTGS,Failed
WTX1000026,8847244262,CUST16762,4/5/2025 23:38,Transfer,13444.05,WBR022,West,RTGS,Success
WTX1000027,6717512010,CUST40071,11/17/2025 19:37,Withdrawal,2913.12,WBR001,West,RTGS,Failed
WTX1000028,9331950900,CUST73721,8/2/2025 16:57,Transfer,10897.37,WBR003,West,IMPS,Failed
WTX1000029,6676161790,CUST92568,1/4/2025 0:37,Deposit,4738.23,WBR010,West,RTGS,Success
WTX1000030,8828323812,CUST44180,10/12/2025 10:28,Withdrawal,14010.13,WBR018,West,RTGS,Failed
WTX1000031,2158774159,CUST44372,8/27/2025 5:51,Withdrawal,745.44,WBR013,West,UPI,Failed
WTX1000032,4564913795,CUST62728,4/16/2025 9:05,Withdrawal,12248.94,WBR021,West,NEFT,Failed
WTX1000033,9494587185,CUST49786,2/22/2025 23:30,Withdrawal,4111.67,WBR016,West,ATM,Failed
WTX1000034,4209597709,CUST16181,3/15/2025 7:59,Transfer,8517.12,WBR001,West,ATM,Failed
WTX1000035,1454030748,CUST74404,8/27/2025 10:56,Deposit,17293.78,WBR016,West,IMPS,Failed
WTX1000036,6716215310,CUST31529,9/7/2025 6:30,Deposit,15829.1,WBR025,West,UPI,Success
WTX1000037,8648651522,CUST51821,10/9/2025 8:06,Transfer,1877.34,WBR025,West,RTGS,Success
WTX1000038,2753120623,CUST61347,7/9/2025 15:09,Deposit,3640.46,WBR020,West,RTGS,Failed
WTX1000039,6685896795,CUST43920,10/11/2025 16:43,Transfer,13410.22,WBR013,West,ATM,Success
WTX1000040,2234845659,CUST88844,3/10/2025 22:47,Deposit,18483.42,WBR008,West,Branch,Failed
WTX1000041,8732259643,CUST27926,9/27/2025 10:18,Transfer,17694.64,WBR009,West,Branch,Success
WTX1000042,7441221514,CUST28432,9/9/2025 21:53,Transfer,14768.66,WBR008,West,ATM,Success
WTX1000043,6863007611,CUST44938,8/17/2025 19:39,Withdrawal,2946.01,WBR011,West,IMPS,Success
WTX1000044,8515708894,CUST60089,12/4/2025 8:29,Deposit,4310.81,WBR024,West,UPI,Success
WTX1000045,1485220180,CUST15434,11/30/2025 8:57,Withdrawal,4802.86,WBR002,West,IMPS,Failed
WTX1000046,1262126938,CUST60348,10/25/2025 20:42,Deposit,14012.36,WBR006,West,IMPS,Success
WTX1000047,8531411274,CUST33173,1/16/2025 16:25,Deposit,19844.85,WBR008,West,Branch,Failed
WTX1000048,4900788470,CUST76345,4/13/2025 12:56,Transfer,17496.13,WBR023,West,ATM,Success
WTX1000049,6039200231,CUST50908,2/8/2025 19:52,Transfer,12815.02,WBR017,West,NEFT,Failed
WTX1000050,6704251440,CUST29787,9/10/2025 18:08,Withdrawal,8529.17,WBR015,West,IMPS,Failed
WTX1000051,3340188717,CUST30773,12/4/2025 2:26,Deposit,3169.85,WBR011,West,UPI,Success
WTX1000052,9009582358,CUST35677,9/8/2025 7:30,Withdrawal,9865.69,WBR025,West,UPI,Success
